,cif_id,solvent_removal_stability
171,pcu+N428+E87,Stable
172,pcu+N306+E116,Stable
173,pcu+N30+E3,Stable
174,pcu+N308+E52,Stable
175,pcu+N16+E85,Stable
176,pcu+N139+E146,Stable
177,pcu+N465+E137,Stable
178,pcu+N493+E34,Stable
179,pcu+N101+E45,Stable
180,pcu+N222+E111,Unstable
181,pcu+N504+E119,Stable
182,pcu+N135+E20,Unstable
183,pcu+N205+E128,Stable
184,pcu+N311+E113,Unstable
185,pcu+N518+E42,Unstable
186,pcu+N570+E67,Stable
187,pcu+N148+E83,Unstable
188,pcu+N521+E165,Stable
189,pcu+N85+E49,Stable
190,pcu+N341+E201,Stable
191,pcu+N265+E69,Stable
192,pcu+N155+E85,Stable
193,pcu+N646+E80,Stable
194,pcu+N155+E152,Stable
195,pcu+N634+E51,Stable
196,pcu+N659+E183,Stable
197,pcu+N182+E146,Stable
198,pcu+N442+E158,Stable
199,pcu+N691+E2,Stable
200,pcu+N567+E178,Stable
201,pcu+N465+E32,Stable
202,pcu+N634+E78,Unstable
203,pcu+N657+E219,Unstable
204,pcu+N311+E190,Stable
205,pcu+N146+E224,Stable
206,pcu+N59+E10,Stable
207,pcu+N314+E73,Stable
208,pcu+N465+E83,Unstable
209,pcu+N696+E192,Stable
210,pcu+N55+E20,Stable
211,pcu+N162+E11,Stable
212,pcu+N180+E167,Stable
213,pcu+N30+E123,Stable
214,pcu+N324+E155,Stable
215,pcu+N666+E171,Stable
216,pcu+N384+E26,Stable
217,pcu+N568+E76,Unstable
218,pcu+N250+E5,Stable
219,pcu+N336+E113,Stable
220,pcu+N613+E17,Stable
221,pcu+N489+E32,Stable
222,pcu+N628+E170,Stable
223,pcu+N47+E201,Unstable
224,pcu+N151+E160,Stable
225,pcu+N334+E72,Stable
226,pcu+N105+E89,Stable
227,pcu+N30+E10,Stable
228,pcu+N336+E138,Stable
229,pcu+N33+E14,Stable
230,pcu+N139+E196,Unstable
231,pcu+N643+E59,Unstable
232,pcu+N339+E137,Stable
233,pcu+N593+E212,Stable
234,pcu+N220+E63,Unstable
235,pcu+N690+E13,Stable
236,pcu+N694+E107,Stable
237,pcu+N220+E183,Stable
238,pcu+N593+E192,Stable
239,pcu+N630+E44,Stable
240,pcu+N668+E126,Stable
241,pcu+N608+E31,Stable
242,pcu+N467+E51,Stable
243,pcu+N208+E29,Stable
244,pcu+N324+E36,Stable
245,pcu+N486+E19,Stable
246,pcu+N643+E159,Stable
247,pcu+N384+E128,Stable
248,pcu+N666+E119,Unstable
249,pcu+N311+E234,Unstable
250,pcu+N646+E86,Stable
251,pcu+N384+E85,Stable
252,pcu+N622+E149,Stable
253,pcu+N657+E152,Stable
254,pcu+N428+E53,Unstable
255,pcu+N678+E89,Stable
256,pcu+N475+E138,Stable
257,pcu+N508+E41,Stable
258,pcu+N394+E139,Stable
259,pcu+N493+E39,Stable
260,pcu+N55+E72,Stable
261,pcu+N486+E78,Stable
262,pcu+N622+E8,Stable
263,pcu+N453+E17,Stable
264,pcu+N30+E205,Stable
265,pcu+N123+E181,Stable
266,pcu+N77+E19,Stable
267,pcu+N508+E67,Stable
268,pcu+N529+E107,Stable
269,pcu+N425+E86,Stable
270,pcu+N646+E161,Stable
271,pcu+N341+E52,Stable
272,pcu+N483+E25,Stable
273,pcu+N483+E59,Unstable
274,pcu+N630+E1,Unstable
275,pcu+N248+E168,Stable
276,pcu+N106+E219,Stable
277,pcu+N574+E79,Unstable
278,pcu+N509+E43,Stable
279,pcu+N552+E84,Stable
280,pcu+N540+E134,Stable
281,pcu+N220+E153,Stable
282,pcu+N146+E95,Stable
283,pcu+N696+E125,Stable
284,pcu+N598+E139,Stable
285,pcu+N30+E72,Stable
286,pcu+N295+E32,Unstable
287,pcu+N151+E201,Stable
288,pcu+N529+E171,Stable
289,pcu+N394+E73,Stable
290,pcu+N183+E2,Stable
291,pcu+N590+E72,Stable
292,pcu+N274+E136,Stable
293,pcu+N379+E190,Stable
294,pcu+N108+E32,Stable
295,pcu+N341+E64,Unstable
296,pcu+N135+E72,Stable
297,pcu+N476+E22,Unstable
298,pcu+N273+E142,Unstable
299,pcu+N680+E10,Stable
300,pcu+N465+E156,Stable
301,pcu+N493+E25,Stable
302,pcu+N41+E2,Stable
303,pcu+N667+E5,Stable
304,pcu+N234+E76,Unstable
305,pcu+N577+E201,Stable
306,pcu+N548+E141,Stable
307,pcu+N555+E68,Unstable
308,pcu+N694+E116,Unstable
309,pcu+N55+E6,Stable
310,pcu+N668+E38,Unstable
311,pcu+N336+E89,Stable
312,pcu+N467+E118,Unstable
313,pcu+N406+E211,Stable
314,pcu+N694+E10,Stable
315,pcu+N180+E113,Stable
316,pcu+N659+E108,Stable
317,pcu+N666+E201,Unstable
318,pcu+N646+E35,Stable
319,pcu+N659+E8,Stable
320,pcu+N264+E24,Stable
321,pcu+N221+E106,Stable
322,pcu+N144+E205,Stable
323,pcu+N577+E131,Stable
324,pcu+N570+E41,Unstable
325,pcu+N467+E57,Stable
326,pcu+N598+E4,Unstable
327,pcu+N569+E204,Stable
328,pcu+N77+E106,Stable
329,pcu+N143+E37,Stable
330,pcu+N425+E173,Unstable
331,pcu+N265+E206,Stable
332,pcu+N568+E69,Stable
333,pcu+N240+E98,Stable
334,pcu+N668+E89,Stable
335,pcu+N680+E229,Stable
336,pcu+N634+E69,Stable
337,pcu+N334+E106,Unstable
338,pcu+N108+E126,Stable
339,pcu+N613+E6,Stable
340,pcu+N308+E26,Stable
341,pcu+N694+E34,Stable
342,pcu+N180+E82,Stable
343,pcu+N612+E202,Stable
344,pcu+N30+E89,Stable
345,pcu+N205+E64,Unstable
346,pcu+N406+E47,Stable
347,pcu+N264+E10,Stable
348,pcu+N341+E203,Stable
349,pcu+N213+E190,Stable
350,pcu+N106+E204,Stable
351,pcu+N659+E30,Stable
352,pcu+N521+E123,Unstable
353,pcu+N608+E189,Stable
354,pcu+N612+E88,Stable
355,pcu+N49+E185,Stable
356,pcu+N30+E33,Unstable
357,pcu+N283+E161,Stable
358,pcu+N384+E187,Stable
359,pcu+N567+E7,Stable
360,pcu+N493+E223,Stable
361,pcu+N577+E36,Stable
362,pcu+N135+E61,Stable
363,pcu+N569+E65,Stable
364,pcu+N324+E145,Stable
365,pcu+N152+E3,Stable
366,pcu+N54+E229,Stable
367,pcu+N16+E155,Stable
368,pcu+N574+E90,Unstable
369,pcu+N65+E201,Stable
370,pcu+N555+E167,Stable
371,pcu+N556+E149,Unstable
372,pcu+N139+E218,Stable
373,pcu+N694+E91,Unstable
374,pcu+N556+E185,Stable
375,pcu+N273+E81,Unstable
376,pcu+N213+E1,Stable
377,pcu+N475+E57,Stable
378,pcu+N155+E232,Unstable
379,pcu+N425+E221,Stable
380,pcu+N135+E112,Unstable
381,pcu+N694+E20,Stable
382,pcu+N457+E40,Stable
383,pcu+N264+E8,Stable
384,pcu+N568+E97,Unstable
385,pcu+N162+E25,Stable
386,pcu+N691+E84,Stable
387,pcu+N336+E142,Stable
388,pcu+N334+E104,Unstable
389,pcu+N173+E148,Unstable
390,pcu+N283+E224,Stable
391,pcu+N659+E26,Stable
392,pcu+N668+E33,Stable
393,pcu+N570+E112,Stable
394,pcu+N560+E71,Stable
395,pcu+N289+E70,Stable
396,pcu+N379+E47,Stable
397,pcu+N220+E67,Stable
398,pcu+N453+E158,Stable
399,pcu+N384+E98,Stable
400,pcu+N234+E198,Unstable
401,pcu+N691+E228,Stable
402,pcu+N41+E106,Stable
403,pcu+N264+E61,Unstable
404,pcu+N148+E116,Stable
405,pcu+N680+E212,Stable
406,pcu+N379+E161,Stable
407,pcu+N289+E148,Stable
408,pcu+N106+E29,Stable
409,pcu+N213+E192,Stable
410,pcu+N143+E202,Stable
411,pcu+N273+E162,Unstable
412,pcu+N559+E188,Stable
413,pcu+N208+E176,Stable
414,pcu+N574+E23,Stable
415,pcu+N167+E146,Stable
416,pcu+N465+E48,Stable
417,pcu+N234+E201,Unstable
418,pcu+N518+E136,Stable
419,pcu+N85+E77,Stable
420,pcu+N680+E78,Stable
421,pcu+N77+E83,Stable
422,pcu+N289+E65,Stable
423,pcu+N144+E80,Stable
424,pcu+N221+E222,Unstable
425,pcu+N146+E201,Stable
426,pcu+N465+E92,Stable
427,pcu+N559+E153,Stable
428,pcu+N144+E98,Stable
429,pcu+N65+E216,Stable
430,pcu+N151+E5,Stable
431,pcu+N570+E32,Unstable
432,pcu+N382+E66,Stable
433,pcu+N593+E153,Stable
434,pcu+N552+E45,Stable
435,pcu+N248+E40,Stable
436,pcu+N555+E146,Stable
437,pcu+N475+E88,Stable
438,pcu+N467+E27,Stable
439,pcu+N425+E203,Unstable
440,pcu+N274+E38,Stable
441,pcu+N493+E37,Stable
442,pcu+N341+E181,Stable
443,pcu+N540+E146,Stable
444,pcu+N265+E159,Stable
445,pcu+N36+E120,Stable
446,pcu+N491+E24,Stable
447,pcu+N77+E10,Stable
448,pcu+N311+E122,Stable
449,pcu+N182+E128,Stable
450,pcu+N504+E4,Stable
451,pcu+N491+E202,Stable
452,pcu+N382+E158,Stable
453,pcu+N659+E152,Stable
454,pcu+N559+E156,Stable
455,pcu+N123+E183,Stable
456,pcu+N180+E158,Unstable
457,pcu+N283+E3,Stable
458,pcu+N489+E63,Stable
459,pcu+N667+E44,Stable
460,pcu+N552+E102,Unstable
461,pcu+N612+E222,Stable
462,pcu+N274+E127,Unstable
463,pcu+N438+E72,Stable
464,pcu+N85+E150,Unstable
465,pcu+N465+E131,Stable
466,pcu+N273+E167,Unstable
467,pcu+N65+E153,Stable
468,pcu+N173+E181,Unstable
469,pcu+N552+E108,Stable
470,pcu+N667+E58,Stable
471,pcu+N180+E183,Unstable
472,pcu+N290+E89,Stable
473,pcu+N183+E43,Stable
474,pcu+N265+E125,Stable
475,pcu+N533+E110,Stable
476,pcu+N491+E224,Stable
477,pcu+N250+E52,Stable
478,pcu+N139+E126,Stable
479,pcu+N155+E205,Stable
480,pcu+N373+E170,Stable
481,pcu+N382+E226,Unstable
482,pcu+N508+E50,Stable
483,pcu+N324+E167,Stable
484,pcu+N680+E205,Stable
485,pcu+N691+E69,Stable
486,pcu+N680+E17,Stable
487,pcu+N16+E216,Stable
488,pcu+N509+E92,Stable
489,pcu+N392+E141,Stable
490,pcu+N453+E145,Stable
491,pcu+N483+E15,Unstable
492,pcu+N518+E95,Stable
493,pcu+N248+E159,Stable
494,pcu+N65+E151,Stable
495,pcu+N49+E108,Stable
496,pcu+N234+E149,Unstable
497,pcu+N85+E179,Stable
498,pcu+N240+E162,Stable
499,pcu+N182+E118,Unstable
500,pcu+N568+E8,Stable
501,pcu+N666+E19,Stable
502,pcu+N475+E97,Stable
503,pcu+N341+E6,Stable
504,pcu+N529+E15,Stable
505,pcu+N77+E44,Stable
506,pcu+N334+E23,Stable
507,pcu+N382+E134,Stable
508,pcu+N265+E17,Stable
509,pcu+N289+E15,Stable
510,pcu+N598+E142,Unstable
511,pcu+N265+E149,Stable
512,pcu+N308+E125,Stable
513,pcu+N540+E6,Stable
514,pcu+N183+E38,Unstable
515,pcu+N101+E232,Stable
516,pcu+N438+E61,Unstable
517,pcu+N548+E145,Stable
518,pcu+N274+E27,Unstable
519,pcu+N486+E33,Stable
520,pcu+N577+E154,Stable
521,pcu+N453+E81,Stable
522,pcu+N560+E225,Stable
523,pcu+N143+E131,Stable
524,pcu+N167+E189,Stable
525,pcu+N162+E123,Unstable
526,pcu+N428+E203,Unstable
527,pcu+N384+E180,Stable
528,pcu+N382+E220,Stable
529,pcu+N508+E77,Stable
530,pcu+N373+E45,Stable
531,pcu+N480+E33,Stable
532,pcu+N30+E15,Stable
533,pcu+N289+E209,Stable
534,pcu+N674+E141,Stable
535,pcu+N529+E97,Stable
536,pcu+N486+E218,Stable
537,pcu+N593+E139,Stable
538,pcu+N59+E64,Unstable
539,pcu+N382+E137,Stable
540,pcu+N392+E86,Stable
541,pcu+N59+E118,Stable
542,pcu+N139+E178,Stable
543,pcu+N248+E104,Unstable
544,pcu+N486+E139,Stable
545,pcu+N476+E115,Unstable
546,pcu+N101+E151,Stable
547,pcu+N392+E156,Unstable
548,pcu+N394+E94,Stable
549,pcu+N493+E104,Unstable
550,pcu+N475+E148,Stable
551,pcu+N265+E25,Stable
552,pcu+N576+E219,Unstable
553,pcu+N65+E96,Stable
554,pcu+N508+E150,Stable
555,pcu+N612+E176,Stable
556,pcu+N521+E35,Unstable
557,pcu+N144+E165,Unstable
558,pcu+N540+E205,Stable
559,pcu+N167+E212,Stable
560,pcu+N674+E68,Unstable
561,pcu+N657+E65,Unstable
562,pcu+N555+E215,Unstable
563,pcu+N678+E165,Stable
564,pcu+N475+E30,Stable
565,pcu+N595+E106,Stable
566,pcu+N308+E15,Stable
567,pcu+N152+E161,Stable
568,pcu+N384+E194,Stable
569,pcu+N248+E176,Stable
570,pcu+N135+E12,Stable
571,pcu+N595+E211,Stable
572,pcu+N666+E40,Stable
573,pcu+N85+E35,Stable
574,pcu+N612+E16,Stable
575,pcu+N155+E19,Stable
576,pcu+N290+E65,Stable
577,pcu+N518+E198,Unstable
578,pcu+N608+E17,Stable
579,pcu+N486+E149,Stable
580,pcu+N59+E34,Stable
581,pcu+N518+E4,Stable
582,pcu+N55+E226,Stable
583,pcu+N36+E155,Stable
584,pcu+N608+E131,Stable
585,pcu+N394+E52,Stable
586,pcu+N139+E73,Stable
587,pcu+N438+E180,Stable
588,pcu+N475+E95,Stable
589,pcu+N384+E39,Stable
590,pcu+N694+E36,Stable
591,pcu+N55+E98,Stable
592,pcu+N264+E177,Stable
593,pcu+N37+E70,Stable
594,pcu+N694+E216,Stable
595,pcu+N467+E156,Stable
596,pcu+N116+E77,Unstable
597,pcu+N162+E202,Stable
598,pcu+N612+E85,Stable
599,pcu+N643+E34,Unstable
600,pcu+N155+E198,Unstable
601,pcu+N608+E47,Stable
602,pcu+N180+E165,Stable
603,pcu+N560+E223,Stable
604,pcu+N274+E175,Stable
605,pcu+N135+E212,Stable
606,pcu+N442+E113,Stable
607,pcu+N311+E26,Stable
608,pcu+N148+E196,Stable
609,pcu+N167+E186,Stable
610,pcu+N116+E22,Unstable
611,pcu+N447+E32,Stable
612,pcu+N55+E73,Stable
613,pcu+N162+E211,Stable
614,pcu+N680+E225,Stable
615,pcu+N180+E9,Stable
616,pcu+N577+E47,Stable
617,pcu+N220+E91,Stable
618,pcu+N691+E106,Stable
619,pcu+N16+E174,Stable
620,pcu+N214+E38,Stable
621,pcu+N576+E177,Unstable
622,pcu+N295+E145,Stable
623,pcu+N151+E192,Unstable
624,pcu+N148+E121,Unstable
625,pcu+N55+E106,Stable
626,pcu+N173+E24,Stable
627,pcu+N425+E1,Stable
628,pcu+N37+E72,Stable
629,pcu+N680+E161,Stable
630,pcu+N406+E8,Stable
631,pcu+N493+E113,Stable
632,pcu+N560+E188,Stable
633,pcu+N493+E155,Unstable
634,pcu+N491+E216,Stable
635,pcu+N274+E45,Unstable
636,pcu+N182+E39,Stable
637,pcu+N222+E87,Unstable
638,pcu+N289+E21,Stable
639,pcu+N382+E183,Stable
640,pcu+N559+E69,Stable
641,pcu+N518+E156,Stable
642,pcu+N336+E8,Stable
643,pcu+N576+E71,Stable
644,pcu+N290+E5,Stable
645,pcu+N274+E147,Unstable
646,pcu+N106+E110,Unstable
647,pcu+N105+E223,Unstable
648,pcu+N273+E148,Unstable
649,pcu+N151+E166,Stable
650,pcu+N116+E225,Unstable
651,pcu+N508+E195,Unstable
652,pcu+N306+E78,Unstable
653,pcu+N116+E195,Stable
654,pcu+N392+E10,Stable
655,pcu+N205+E223,Unstable
656,pcu+N668+E88,Stable
657,pcu+N274+E174,Stable
658,pcu+N336+E95,Stable
659,pcu+N392+E132,Stable
660,pcu+N221+E111,Stable
661,pcu+N569+E193,Stable
662,pcu+N508+E110,Stable
663,pcu+N123+E3,Stable
664,pcu+N442+E29,Stable
665,pcu+N250+E128,Stable
666,pcu+N559+E67,Stable
667,pcu+N608+E134,Stable
668,pcu+N465+E201,Unstable
669,pcu+N334+E175,Stable
670,pcu+N205+E95,Stable
671,pcu+N213+E173,Stable
672,pcu+N148+E66,Stable
673,pcu+N290+E73,Stable
674,pcu+N33+E92,Stable
675,pcu+N657+E45,Stable
676,pcu+N240+E48,Stable
677,pcu+N505+E64,Stable
678,pcu+N576+E136,Unstable
679,pcu+N146+E51,Stable
680,pcu+N612+E77,Stable
681,pcu+N146+E96,Stable
682,pcu+N608+E221,Stable
683,pcu+N264+E51,Stable
684,pcu+N47+E147,Unstable
685,pcu+N379+E4,Stable
686,pcu+N339+E72,Stable
687,pcu+N598+E228,Stable
688,pcu+N577+E127,Stable
689,pcu+N308+E7,Stable
690,pcu+N240+E71,Stable
691,pcu+N47+E83,Stable
692,pcu+N406+E67,Stable
693,pcu+N101+E26,Stable
694,pcu+N480+E211,Stable
695,pcu+N628+E61,Stable
696,pcu+N548+E219,Stable
697,pcu+N668+E85,Stable
698,pcu+N116+E187,Stable
699,pcu+N548+E134,Stable
700,pcu+N493+E145,Stable
701,pcu+N290+E4,Stable
702,pcu+N85+E211,Stable
703,pcu+N144+E86,Unstable
704,pcu+N384+E110,Stable
705,pcu+N289+E135,Stable
706,pcu+N283+E146,Stable
707,pcu+N613+E35,Stable
708,pcu+N508+E158,Stable
709,pcu+N577+E61,Stable
710,pcu+N105+E155,Stable
711,pcu+N457+E104,Stable
712,pcu+N208+E122,Stable
713,pcu+N77+E92,Stable
714,pcu+N577+E204,Stable
715,pcu+N680+E58,Stable
716,pcu+N428+E142,Unstable
717,pcu+N105+E106,Stable
718,pcu+N509+E161,Stable
719,pcu+N108+E87,Stable
720,pcu+N162+E233,Stable
721,pcu+N295+E23,Stable
722,pcu+N373+E8,Stable
723,pcu+N59+E137,Stable
724,pcu+N77+E151,Stable
725,pcu+N289+E92,Stable
726,pcu+N382+E149,Stable
727,pcu+N696+E27,Stable
728,pcu+N612+E26,Stable
729,pcu+N295+E142,Stable
730,pcu+N567+E42,Stable
731,pcu+N30+E30,Unstable
732,pcu+N590+E179,Stable
733,pcu+N182+E224,Stable
734,pcu+N508+E219,Unstable
735,pcu+N248+E67,Stable
736,pcu+N328+E192,Stable
737,pcu+N483+E143,Unstable
738,pcu+N250+E119,Stable
739,pcu+N308+E44,Stable
740,pcu+N59+E149,Stable
741,pcu+N493+E72,Stable
742,pcu+N494+E151,Stable
743,pcu+N116+E134,Stable
744,pcu+N570+E38,Stable
745,pcu+N273+E185,Stable
746,pcu+N613+E88,Unstable
747,pcu+N691+E176,Stable
748,pcu+N453+E229,Stable
749,pcu+N694+E21,Stable
750,pcu+N47+E44,Stable
751,pcu+N521+E234,Unstable
752,pcu+N16+E226,Stable
753,pcu+N382+E84,Stable
754,pcu+N16+E202,Stable
755,pcu+N508+E86,Unstable
756,pcu+N630+E85,Stable
757,pcu+N392+E154,Stable
758,pcu+N491+E76,Stable
759,pcu+N214+E53,Stable
760,pcu+N666+E173,Stable
761,pcu+N379+E196,Unstable
762,pcu+N533+E215,Stable
763,pcu+N552+E97,Stable
764,pcu+N311+E147,Stable
765,pcu+N508+E211,Unstable
766,pcu+N183+E199,Unstable
767,pcu+N65+E48,Stable
768,pcu+N213+E199,Unstable
769,pcu+N678+E18,Stable
770,pcu+N30+E181,Stable
771,pcu+N480+E116,Stable
772,pcu+N152+E126,Unstable
773,pcu+N593+E32,Stable
774,pcu+N105+E154,Stable
775,pcu+N213+E146,Stable
776,pcu+N548+E13,Stable
777,pcu+N265+E228,Stable
778,pcu+N505+E135,Stable
779,pcu+N494+E163,Stable
780,pcu+N240+E233,Stable
781,pcu+N264+E79,Stable
782,pcu+N494+E135,Stable
783,pcu+N392+E6,Stable
784,pcu+N16+E92,Stable
785,pcu+N643+E224,Unstable
786,pcu+N489+E223,Stable
787,pcu+N221+E65,Stable
788,pcu+N105+E136,Stable
789,pcu+N85+E37,Stable
790,pcu+N406+E176,Stable
791,pcu+N55+E65,Stable
792,pcu+N295+E27,Stable
793,pcu+N552+E141,Stable
794,pcu+N55+E120,Stable
795,pcu+N493+E158,Stable
796,pcu+N250+E182,Stable
797,pcu+N442+E71,Stable
798,pcu+N55+E1,Stable
799,pcu+N425+E177,Stable
800,pcu+N205+E120,Stable
801,pcu+N509+E1,Unstable
802,pcu+N505+E233,Unstable
803,pcu+N308+E141,Stable
804,pcu+N608+E19,Stable
805,pcu+N666+E138,Stable
806,pcu+N234+E171,Unstable
807,pcu+N576+E134,Unstable
808,pcu+N659+E196,Unstable
809,pcu+N105+E126,Unstable
810,pcu+N248+E116,Stable
811,pcu+N220+E39,Stable
812,pcu+N373+E19,Stable
813,pcu+N552+E10,Stable
814,pcu+N447+E70,Stable
815,pcu+N250+E176,Stable
816,pcu+N101+E94,Unstable
817,pcu+N146+E17,Stable
818,pcu+N41+E127,Stable
819,pcu+N548+E152,Stable
820,pcu+N47+E66,Stable
821,pcu+N690+E146,Stable
822,pcu+N560+E179,Stable
823,pcu+N182+E212,Stable
824,pcu+N442+E128,Stable
825,pcu+N101+E177,Stable
826,pcu+N447+E41,Stable
827,pcu+N264+E36,Stable
828,pcu+N49+E142,Stable
829,pcu+N574+E11,Stable
830,pcu+N108+E127,Stable
831,pcu+N77+E222,Unstable
832,pcu+N309+E76,Stable
833,pcu+N77+E209,Stable
834,pcu+N643+E198,Stable
835,pcu+N518+E228,Stable
836,pcu+N559+E35,Stable
837,pcu+N570+E94,Unstable
838,pcu+N560+E128,Stable
839,pcu+N265+E44,Stable
840,pcu+N123+E209,Stable
841,pcu+N690+E159,Unstable
842,pcu+N47+E61,Unstable
843,pcu+N36+E202,Stable
844,pcu+N442+E16,Stable
845,pcu+N552+E194,Stable
846,pcu+N221+E234,Stable
847,pcu+N529+E42,Stable
848,pcu+N630+E40,Stable
849,pcu+N622+E184,Unstable
850,pcu+N493+E92,Stable
851,pcu+N250+E42,Unstable
852,pcu+N143+E132,Stable
853,pcu+N146+E146,Stable
854,pcu+N442+E3,Stable
855,pcu+N116+E161,Stable
856,pcu+N339+E85,Stable
857,pcu+N438+E2,Stable
858,pcu+N123+E77,Stable
859,pcu+N205+E233,Stable
860,pcu+N518+E226,Stable
861,pcu+N559+E61,Stable
